date,symbol,open,close,Volume USDT,up/down
26/05/2022 0:00,BTC/USDT,29536.7,29744,227414725,up
25/05/2022 23:00,BTC/USDT,29771.7,29536.7,318137140.1,down
25/05/2022 22:00,BTC/USDT,29809.9,29771.7,172266531.5,down
25/05/2022 21:00,BTC/USDT,29776.2,29809.9,173799461.2,up
25/05/2022 20:00,BTC/USDT,29584,29776.3,321431844.6,up
25/05/2022 19:00,BTC/USDT,29864.7,29584,518013254,down
25/05/2022 18:00,BTC/USDT,29698,29864.6,1399577461,up
25/05/2022 17:00,BTC/USDT,29549.8,29698.1,360730080.9,up
25/05/2022 16:00,BTC/USDT,29616,29549.8,527171676.7,down
25/05/2022 15:00,BTC/USDT,29767.7,29616.1,425381871.8,down
25/05/2022 14:00,BTC/USDT,29697.1,29767.6,771792775.5,up
25/05/2022 13:00,BTC/USDT,29555,29697.1,955446516.1,up
25/05/2022 12:00,BTC/USDT,29403.5,29555,582374588.8,up
25/05/2022 11:00,BTC/USDT,29720.7,29403.5,952647422.5,down
25/05/2022 10:00,BTC/USDT,29803.8,29720.7,232950401.6,down
25/05/2022 9:00,BTC/USDT,29811.4,29803.8,313034105.7,down
25/05/2022 8:00,BTC/USDT,29695.7,29811.5,622450802.6,up
25/05/2022 7:00,BTC/USDT,29799.8,29695.6,285864386.8,down
25/05/2022 6:00,BTC/USDT,29866.4,29799.7,625857588.3,down
25/05/2022 5:00,BTC/USDT,30098,29866.4,470531077.9,down
25/05/2022 4:00,BTC/USDT,30189,30098,366655279.6,down
25/05/2022 3:00,BTC/USDT,30108.3,30188.9,537841593.7,up
25/05/2022 2:00,BTC/USDT,29772.7,30108.4,925137128.1,up
25/05/2022 1:00,BTC/USDT,29610,29772.7,234229592.3,up
25/05/2022 0:00,BTC/USDT,29643,29610.1,209457096,down
24/05/2022 23:00,BTC/USDT,29587.8,29643.1,481254062.4,up
24/05/2022 22:00,BTC/USDT,29572.3,29587.8,233234731.3,up
24/05/2022 21:00,BTC/USDT,29449.4,29572.3,343601954.3,up
24/05/2022 20:00,BTC/USDT,29378.8,29449.3,278790423.2,up
24/05/2022 19:00,BTC/USDT,29163.2,29378.8,449635185.3,up
24/05/2022 18:00,BTC/USDT,29334.7,29163.1,552157868.5,down
24/05/2022 17:00,BTC/USDT,29319.9,29334.8,496487063.9,up
24/05/2022 16:00,BTC/USDT,29374,29319.8,815959989.6,down
24/05/2022 15:00,BTC/USDT,29058.4,29373.9,1382388830,up
